_id,municipio,nombre,provincia,sensores[0],sensores[1],sensores[2],sensores[3],sensores[4],sensores[5],sensores[6],sensores[7],sensores[8],sensores[9],sensores[10],sensores[11],sensores[12],sensores[13],sensores[14],sensores[15],sensores[16],sensores[17],sensores[18],sensores[19],snapshot,tipo_estacion
C03A,Bilbao,Zorrotza,Bizkaia,Y0B4,CS3A,S0AG,R0BB,G4E7,K0AY,,,,,,,,,,,,,,,20221225,METEOROLOGICAL
C033,Igorre,Igorre,Bizkaia,Y005,R0RU,K033,G4RD,,,,,,,,,,,,,,,,,20240527,METEOROLOGICAL
C034,Valdegovía/Gaubea,Espejo,Álava,Y048,R0D0,K0AX,G4AR,,,,,,,,,,,,,,,,,20230915,METEOROLOGICAL
C036,Iurreta,Iurreta,Bizkaia,R0BJ,Y0RG,K0AP,G467,,,,,,,,,,,,,,,,,20221003,METEOROLOGICAL
C044,Zigoitia,Gorbea,Álava,G403,R0BF,ISA3,,,,,,,,,,,,,,,,,,20221003,METEOROLOGICAL
C041,Bernedo,Navarrete,Álava,Y005,G497,R0GF,K602,,,,,,,,,,,,,,,,,20240527,METEOROLOGICAL
C045,Balmaseda,La Garbea,Bizkaia,G4RF,R0GE,Y0BR,,,,,,,,,,,,,,,,,,20221003,METEOROLOGICAL
C040,Vitoria-Gasteiz,Gasteiz,Álava,Y045,K026,R0GC,,,,,,,,,,,,,,,,,,20221003,METEOROLOGICAL
C042,Getxo,Punta Galea,Bizkaia,G437,Y0CV,S0AC,R0HG,K0R6,,,,,,,,,,,,,,,,20221003,METEOROLOGICAL
C043,Ordizia,Ordizia,Gipuzkoa,G4AG,R0FU,K612,Y0AQ,S040,,,,,,,,,,,,,,,,20221003,METEOROLOGICAL
C046,Munitibar-Arbatzegi Gerrikaitz,Oiz,Bizkaia,G414,R016,Y0BP,,,,,,,,,,,,,,,,,,20230623,METEOROLOGICAL
C047,Bernedo,Kapildui,Álava,Y0BX,R0BS,G4RA,,,,,,,,,,,,,,,,,,20231123,METEOROLOGICAL
C048,Lagrán,Herrera,Álava,Y0CT,R0EY,K0AZ,G4R2,,,,,,,,,,,,,,,,,20221003,METEOROLOGICAL
C052,Berastegi,Ameraun,Gipuzkoa,R0CC,G4AL,ISR7,,,,,,,,,,,,,,,,,,20221003,GAUGING
C053,Zeanuri,Barazar,Bizkaia,R008,Y0R5,K045,G444,,,,,,,,,,,,,,,,,20080410,METEOROLOGICAL
C049,Erriberagoitia/Ribera Alta,Subijana,Álava,K0AL,R0RY,G4R9,Y033,,,,,,,,,,,,,,,,,20221003,METEOROLOGICAL
C054,Otxandio,Otxandio,Bizkaia,UL54,IS74,K054,G4AQ,Y0AN,R0DO,,,,,,,,,,,,,,,20221003,GAUGING
C051,Amurrio,Saratxo,Álava,RM51,ISAJ,Y0R5,R0RE,K0AT,G4B1,,,,,,,,,,,,,,,20221003,GAUGING
C050,Berantevilla,Zambrana,Álava,R0R2,YE17,G410,K613,,,,,,,,,,,,,,,,,20221003,METEOROLOGICAL
C055,Barrundia,Ozaeta,Álava,UL55,IS55,R0DE,G4RB,,,,,,,,,,,,,,,,,20221003,GAUGING
C061,Valle de Trápaga-Trapagaran,Arboleda,Bizkaia,R0CE,K0AW,G498,Y0DQ,,,,,,,,,,,,,,,,,20240527,METEOROLOGICAL
C060,Laguardia,Páganos,Álava,R0GO,Y0R5,S0AE,K0S6,G478,,,,,,,,,,,,,,,,20221003,METEOROLOGICAL
C057,Mungia,Mungia,Bizkaia,NP57,OR57,NR57,NM57,NO57,NT57,FT57,NA57,NC57,RC57,G4D0,NI57,K0AU,R0GF,Y011,,,,,,20221223,GAUGING
C059,Valle de Mena,Ordunte,Burgos,G458,Y0CJ,R0SA,UL59,K0R9,,,,,,,,,,,,,,,,20221003,METEOROLOGICAL
C056,Alegría-Dulantzi,Alegría,Álava,G4AI,R0HZ,IS56,Y0BN,RM02,,,,,,,,,,,,,,,,20221130,GAUGING
C058,Bidania-Goiatz,Bidania,Gipuzkoa,K607,Y0BE,G460,R0FF,,,,,,,,,,,,,,,,,20221003,METEOROLOGICAL
C064,Zarautz,Zarautz,Gipuzkoa,R0SG,Y005,G499,,,,,,,,,,,,,,,,,,20221003,METEOROLOGICAL
C063,Muxika,Muxika,Bizkaia,NR63,OR63,NT63,FT63,G4R7,ISAM,NC63,R0BT,NM63,NO63,NP63,NI63,RM63,,,,,,,,20240603,QUALITY
C068,Asparrena,Ilarduia,Álava,Y0BZ,R0GD,G4R1,,,,,,,,,,,,,,,,,,20221003,METEOROLOGICAL
C069,Bermeo,Almike (Bermeo),Bizkaia,R014,K0R7,G4E5,Y033,,,,,,,,,,,,,,,,,20221003,METEOROLOGICAL
C071,Lezo,Jaizkibel,Gipuzkoa,Y0BT,R0BU,,,,,,,,,,,,,,,,,,,20221003,METEOROLOGICAL
C072,Urduña/Orduña,Orduña,Bizkaia,G4AD,Y028,R0SC,,,,,,,,,,,,,,,,,,20221219,METEOROLOGICAL
C067,Laudio/Llodio,Gardea,Álava,NR67,NT67,NM67,NO67,NP67,NA67,NC67,G4R8,Y006,ISBM,ISB3,RM67,R0W1,,,,,,,,20230417,QUALITY
C065,Karrantza Harana/Valle de Carranza,Cerroja,Bizkaia,R0GM,S0AD,K610,G4AN,Y0BR,,,,,,,,,,,,,,,,20221003,METEOROLOGICAL
C066,Orozko,Untzueta,Bizkaia,R0FL,Y0DK,,,,,,,,,,,,,,,,,,,20240617,METEOROLOGICAL
