_id,afluencia,año,fecha,mes,meterId,source,vehiculos,vel_circulacion,vel_media
1_2024-03-16,2,2024,2024-03-16,1,1,1,2092,0,89.04761904761905
1_2024-03-17,2,2024,2024-03-17,1,1,1,4833,0,90.0925925925926
1_2024-03-18,0,2024,2024-03-18,1,1,1,14902,0,94.11458333333333
1_2024-03-19,0,2024,2024-03-19,1,1,1,14854,0,94.04166666666667
1_2024-03-20,0,2024,2024-03-20,1,1,1,16192,0,87.14583333333333
1_2024-03-21,0,2024,2024-03-21,1,1,1,17512,0,94.9375
1_2024-03-22,0,2024,2024-03-22,1,1,1,19004,0,96.1875
1_2024-03-23,0,2024,2024-03-23,1,1,1,16361,0,99.30208333333333
1_2024-03-24,0,2024,2024-03-24,1,1,1,14652,2,102.22916666666667
1_2024-03-25,2,2024,2024-03-25,1,1,1,50,3,63.833333333333336
1_2024-03-26,2,2024,2024-03-26,1,1,1,48,3,56.1
1_2024-03-27,2,2024,2024-03-27,1,1,1,448,3,77.64285714285714
1_2024-03-28,2,2024,2024-03-28,1,1,1,412,3,80
1_2024-03-30,4,2024,2024-03-30,1,1,1,6894,0,93.9375
1_2024-03-29,2,2024,2024-03-29,1,1,1,20,3,56.666666666666664
1_2024-03-31,2,2024,2024-03-31,1,1,1,1418,0,93.44444444444444
1_2024-04-01,2,2024,2024-04-01,1,1,1,20,0,94
1_2024-04-02,2,2024,2024-04-02,1,1,1,4968,0,94.66666666666667
1_2024-04-03,2,2024,2024-04-03,1,1,1,1772,3,82.875
1_2024-04-04,2,2024,2024-04-04,1,1,1,862,2,105.83333333333333
1_2024-04-05,4,2024,2024-04-05,1,1,1,8074,0,94.95454545454545
1_2024-04-06,0,2024,2024-04-06,1,1,1,15348,0,95.38541666666667
1_2024-04-07,4,2024,2024-04-07,1,1,1,12700,0,98.02083333333333
1_2024-04-08,4,2024,2024-04-08,1,1,1,10630,0,93.1470588235294
1_2024-04-09,0,2024,2024-04-09,1,1,1,14124,0,91.58333333333333
